set_id,original_name,source_collection,family,subfamily,reason,n_raw,n_present
atomic__hspc_lsc_stemness__hsc_mpp_lsc__park_hsc_vs_multipotent_progenitors_up,PARK_HSC_VS_MULTIPOTENT_PROGENITORS_UP,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,19,18
atomic__hspc_lsc_stemness__hsc_mpp_lsc__pece_mammary_stem_cell_dn,PECE_MAMMARY_STEM_CELL_DN,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,144,139
atomic__hspc_lsc_stemness__hsc_mpp_lsc__pece_mammary_stem_cell_up,PECE_MAMMARY_STEM_CELL_UP,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,137,132
atomic__hspc_lsc_stemness__hsc_mpp_lsc__riggi_ewing_sarcoma_progenitor_dn,RIGGI_EWING_SARCOMA_PROGENITOR_DN,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,194,190
atomic__hspc_lsc_stemness__hsc_mpp_lsc__riggi_ewing_sarcoma_progenitor_up,RIGGI_EWING_SARCOMA_PROGENITOR_UP,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,441,425
atomic__hspc_lsc_stemness__hsc_mpp_lsc__tonks_targets_of_runx1_runx1t1_fusion_hsc_dn,TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,193,190
atomic__hspc_lsc_stemness__hsc_mpp_lsc__tonks_targets_of_runx1_runx1t1_fusion_hsc_up,TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,184,180
atomic__hspc_lsc_stemness__hsc_mpp_lsc__wong_embryonic_stem_cell_core,WONG_EMBRYONIC_STEM_CELL_CORE,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,335,330
atomic__hspc_lsc_stemness__hsc_mpp_lsc__xie_lt_hsc_s1pr3_oe_up,XIE_LT_HSC_S1PR3_OE_UP,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,29,29
atomic__hspc_lsc_stemness__hsc_mpp_lsc__xie_st_hsc_s1pr3_oe_dn,XIE_ST_HSC_S1PR3_OE_DN,MSigDB_C2_CGP,hspc_lsc_stemness,hsc_mpp_lsc,selector_cap_gt_80,23,23
