set_id,family,subfamily,interpretation_layer,n_raw,n_present,broad_set_flag
core_anchor__antigen_presentation_ciita_26aca9ec__core_mhc_ciita__expert_curated,antigen_presentation_ciita_hla_escape,core_mhc_ciita,core_anchor,18,18,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__reactome_antigen_presentation_folding_assembly_and_peptide_loading_of_c_f92221af,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,29,29,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__reactome_antigen_processing_cross_presentation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,98,97,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__reactome_antigen_processing_ubiquitination_proteasome_degradation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,295,295,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__reactome_antigen_processing_ub_atp_independent_proteasomal_degradation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,19,19,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__reactome_class_i_mhc_mediated_antigen_processing_presentation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,373,372,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__reactome_mhc_class_ii_antigen_presentation,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,126,123,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__reactome_nef_mediated_downregulation_of_mhc_class_i_complex_cell_surfac_517c4071,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,10,10,
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__ciita_target_genes,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,1234,1111,very_broad_gt_1000
atomic__antigen_presentation_ciita_26aca9ec__mhc_i_mhc_ii_ciita__ciita_target_genes,antigen_presentation_ciita_hla_escape,mhc_i_mhc_ii_ciita,effector,1234,1111,very_broad_gt_1000
