source_collection,source_version,resource_type,url,retrieval_date_utc,retrieval_status,file_size_bytes,sha256,local_path
MSigDB_H,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/h.all.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:03.452281+00:00,downloaded,48686,eecaf6dad908334ae885406ec72bdc0646d8917588ed7c219fac92fc5363f596,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_h.all.symbols.gmt
MSigDB_C2_REACTOME,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.reactome.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:03.878897+00:00,downloaded,898680,5d61f289a2400cddfbb3a3353829fd2284a360bbe50f2093b566c4b7bea93341,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c2.cp.reactome.symbols.gmt
MSigDB_C2_KEGG_LEGACY,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c2.cp.kegg_legacy.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:04.314441+00:00,downloaded,100274,4a87c8d1260e637ec174f5960885519d46fa29da650e70d3a3641a4d41c4fa5e,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c2.cp.kegg_legacy.symbols.gmt
MSigDB_C5_GO_BP,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c5.go.bp.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:04.586625+00:00,downloaded,4872550,9be09dd06d6652566eb52eed530d62e6dfecc4365c1e81afd6f0b7f2e86dd4f9,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c5.go.bp.symbols.gmt
MSigDB_C5_GO_CC,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c5.go.cc.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:05.255780+00:00,downloaded,778106,1ee846c446a87c1b6cc2b097dc415bed1c2f6b539312d2611f946038c5f7e9f8,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c5.go.cc.symbols.gmt
MSigDB_C5_GO_MF,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c5.go.mf.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:05.678235+00:00,downloaded,957205,72da03f5438f1005566ecd5c85bf32e81f343910241948da603d2fafdf47f555,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c5.go.mf.symbols.gmt
MSigDB_C3_TFT_GTRD,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c3.tft.gtrd.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:06.114302+00:00,downloaded,1824743,1c981780b00173ee7e1f86d61f0cf1a9fa80afc2bb28bfb010efc5eea3aaad6c,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c3.tft.gtrd.symbols.gmt
MSigDB_C3_TFT,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c3.tft.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:06.586653+00:00,downloaded,2839232,426b3c4f863d14bb6c80d5d00fb740d407c5d263526af0757fb5d82b10ae09c6,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c3.tft.symbols.gmt
MSigDB_C7_IMMUNESIGDB,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c7.immunesigdb.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:07.443896+00:00,downloaded,6663803,facfeff5feca6bcef83abf7bde88043096c441b718e74c862b6248404cf97f5d,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c7.immunesigdb.symbols.gmt
MSigDB_C8_CELL_TYPE,2026.1.Hs,gmt,https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2026.1.Hs/c8.all.v2026.1.Hs.symbols.gmt,2026-06-22T04:27:08.191564+00:00,downloaded,1127394,715a1af9f0d36e1dfd631e9daa204157e741e2a07dce90abb18f2f0aa98f8d04,/home/minhang/mds_project/data/resource_cache/stage0_expanded_genesets/msigdb_2026.1.Hs_c8.all.symbols.gmt
